prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,prefix_9,prefix_10
1,1,1,1,1,1,1,1,2,2
8,9,8,9,8,8,8,8,8,8
11,11,11,11,11,11,11,11,2,2
13,13,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,2,2,11
11,11,11,11,11,11,11,11,11,11
17,17,17,17,17,2,17,2,2,2
11,11,11,11,2,2,3,3,10,10
1,1,1,2,2,1,1,1,2,2
1,1,1,1,2,1,1,1,2,1
18,18,18,2,18,18,2,18,18,18
20,20,20,2,2,20,20,20,20,20
21,21,21,21,21,21,21,21,21,21
8,8,8,8,8,8,2,8,2,8
20,20,2,20,20,2,20,20,2,2
1,1,1,1,1,1,1,1,1,2
15,15,15,15,15,15,7,7,15,6
18,18,18,18,18,18,18,18,18,18
25,25,25,25,9,9,25,25,25,25
17,17,17,17,17,17,2,2,3,3
17,17,17,9,9,17,17,9,9,17
17,17,17,17,17,17,17,2,2,17
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,2,2
20,20,20,20,2,20,20,2,20,20
1,1,1,1,1,2,1,1,2,1
20,20,20,20,20,20,20,20,2,2
11,2,2,11,11,11,11,11,2,2
25,25,25,25,25,25,7,7,9,9
17,17,17,17,17,17,17,17,17,17
1,1,1,1,1,1,1,1,17,17
17,17,17,17,2,2,3,3,4,4
27,27,27,27,27,27,27,27,9,9
27,27,27,27,27,27,27,7,7,27
30,30,31,31,6,32,7,7,6,32
15,15,15,15,6,6,6,6,7,7
27,27,11,11,11,11,11,2,2,11
8,8,8,8,8,8,8,8,8,8
7,7,6,6,9,9,9,9,27,27
27,27,27,27,27,27,27,27,27,27
20,20,20,2,20,20,2,20,20,20
4,4,19,19,19,19,19,19,6,6
5,5,19,19,35,35,35,4,4,35
35,35,6,6,7,7,12,12,6,6
17,17,17,17,17,17,17,17,17,1
2,2,12,12,6,6,2,2,7,7
18,18,35,35,7,7,7,7,6,6
4,4,5,5,5,5,5,5,5,5
3,4,4,4,3,4,4,4,2,2
2,2,2,2,2,2,6,6,6,6
17,17,2,2,1,1,2,2,3,3
7,7,6,6,2,2,6,6,2,2
30,30,2,2,8,8,2,8,2,8
18,18,18,2,18,2,18,2,2,18
2,2,10,10,4,4,4,10,4,10
17,17,17,17,17,17,2,17,17,2
4,4,4,4,4,4,4,4,4,19
1,1,2,1,1,2,1,1,1,1
41,41,35,35,6,6,6,6,7,7
16,2,16,2,27,27,27,27,27,27
2,2,3,3,4,4,10,10,4,4
2,2,3,3,4,4,15,15,15,15
20,20,20,20,20,20,20,20,20,20
18,18,18,18,18,18,18,18,18,18
20,20,20,20,20,20,20,20,20,20
1,1,1,1,2,1,1,1,1,2
20,20,20,20,20,20,20,20,20,20
2,2,3,3,3,3,4,4,4,4
20,20,20,20,20,2,20,2,20,20
20,20,20,20,20,20,20,20,2,2
11,11,11,11,11,11,2,2,2,2
43,43,43,43,43,43,43,43,6,6
4,4,4,4,19,19,19,19,19,19
8,8,8,8,8,8,8,8,8,8
11,2,11,11,11,11,2,11,11,11
35,35,3,3,36,36,35,35,3,3
11,11,11,11,11,11,2,2,2,2
11,9,9,11,11,11,11,11,9,9
44,44,44,44,17,17,9,2,17,2
20,20,20,20,20,20,20,2,2,20
4,4,19,19,19,19,19,19,19,19
2,17,2,3,17,3,4,4,14,14
47,47,47,47,47,47,47,47,2,2
9,9,9,9,29,29,29,29,29,29
2,2,2,18,2,18,18,18,18,18
15,15,15,15,2,15,2,15,15,15
2,2,1,1,2,2,2,2,3,3
1,1,1,1,1,1,1,1,1,1
20,20,20,20,20,2,2,20,20,20
17,17,17,17,2,2,3,3,49,4
20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,2,20,2,20
20,20,20,20,20,20,20,20,20,20
20,20,20,2,20,20,2,20,2,2
4,4,4,4,14,14,14,14,14,6
8,8,8,2,2,8,8,8,8,8
8,8,8,8,8,8,2,2,3,3
8,8,8,8,8,8,4,4,2,2
11,11,11,11,2,2,11,11,11,11
17,17,17,17,17,17,17,17,17,17
42,42,42,42,6,42,6,42,42,42
17,17,17,17,17,17,2,2,3,3
20,20,20,20,20,20,2,2,20,20
8,8,8,8,2,8,2,2,8,2
3,3,10,10,10,10,10,10,6,6
27,27,9,9,3,3,6,6,7,7
27,27,27,27,27,27,9,9,27,27
17,17,17,17,17,17,17,17,17,17
20,20,20,20,20,20,20,20,20,20
18,18,18,18,18,18,18,18,18,18
1,1,1,1,1,1,1,1,1,1
20,20,20,20,20,20,20,20,20,20
11,11,11,11,2,2,11,11,2,2
20,20,20,20,20,20,2,2,2,2
11,11,11,11,11,2,11,11,2,11
20,20,20,20,20,20,20,20,2,2
27,27,27,27,11,11,11,11,11,11
2,2,17,17,17,17,17,2,17,17
1,1,1,1,1,1,1,2,2,1
11,11,11,2,11,2,11,2,2,11
11,11,11,2,11,11,2,11,11,11
11,11,11,11,11,11,11,11,11,11
17,17,17,17,17,17,17,2,17,2
8,8,8,8,8,8,8,2,8,2
8,8,8,8,8,2,8,2,10,10
11,11,11,2,2,11,11,2,10,11
42,42,2,2,4,4,15,15,15,15
20,20,20,20,20,2,2,20,2,2
18,18,18,18,18,18,18,18,18,18
17,2,17,2,1,1,2,2,3,3
17,2,2,17,17,17,17,17,17,2
1,1,1,1,1,1,1,1,2,2
17,17,17,17,17,17,17,17,17,17
20,20,2,20,2,20,20,20,20,20
18,18,18,18,18,18,18,18,18,2
17,17,17,17,17,17,17,17,2,2
17,17,17,17,1,17,1,17,2,17
11,25,25,11,11,11,11,11,11,11
1,1,17,17,1,1,1,1,1,1
